start_sec,comment,keywords,notes
0.500,"夜のオフィス窓辺で一人佇む社員","S:夜景; S:社内; M:窓; C:望遠; E:孤独; T:自己","冒頭トーンを強調。望遠ショット推奨。"
6.858,"岐路か迷路に立つ人物の影","S:屋外; M:羅針盤; C:俯瞰; E:苦悩; T:自己","脱出か逃避かの葛藤を比喩的に表現。"
12.808,"星空と砂漠、古代の書物が重なる","M:星空; M:砂丘; M:書物; C:TL; T:歴史; T:時間","シリーズのテーマを凝縮したOP映像。"
23.250,"深夜のオフィスビル群、単窓の灯り","S:夜景; S:社内; C:空撮; C:望遠; E:静寂","無数の匿名性の中の個を象徴。"
30.644,"SNS画面をスクロールする指先","S:屋内; M:ネットワーク; C:マクロ; C:TL; E:苦悩; T:自己","情報の洪水と内心の焦りを対比。"
48.674,"閉じていくオフィスのドア","S:社内; C:固定; E:孤独; T:組織","取り残された感覚をフレームで表現。"
52.604,"オリオン座が輝く夜空のパン","S:夜景; M:星空; C:パン; C:TL; E:静寂","番組タイトルへの導入。美しい星空。"
67.470,"星々が線で結ばれていくCG","M:星空; M:ネットワーク; C:固定; T:歴史","知の星座が形成される様を視覚化。"
71.112,"砂漠、書物、群集、迷路のモンタージュ","M:砂丘; M:書物; M:群集; C:TL; T:歴史; T:自己","各要素をテンポよくカットバック。"
85.106,"結ばれた星座がゆっくり回転する","M:星空; M:ネットワーク; C:スロモ; E:静寂; T:歴史","物語の始まりを荘厳に演出。"
95.452,"スマホ画面にポップアップ通知","S:屋内; M:ネットワーク; C:マクロ; E:苦悩; T:自己","現実への引き戻し。浅い被写界深度で。"
102.014,"求人サイトの魅力的な条件をアップ","S:屋内; M:書物; C:マクロ; C:固定; T:組織; T:自己","書物の現代版としてのWebページ。"
111.144,"居酒屋で愚痴をこぼす同僚の口元","S:屋内; A:会議; C:固定; E:苦悩; T:組織","閉塞感のある会話シーン。"
114.936,"月曜の朝、無表情で出社する群衆","S:社内; M:群集; A:歩行; C:TL; E:孤独; T:組織","繰り返される日常の象徴。"
128.922,"PCのブックマークフォルダをアップ","S:屋内; S:社内; M:書物; C:マクロ; E:苦悩; T:自己","行動できない葛藤を手元で示す。"
142.664,"窓の外を眺める人物のシルエット","S:社内; M:窓; C:固定; E:孤独; E:静寂; T:自己","内省的な問いかけのカット。"
151.198,"きっぱりと否定するような断ち切り","","","黒味インサート推奨。"
154.032,"古い羊皮紙に書かれた文字のマクロ","M:羊皮紙; M:書物; C:マクロ; C:パン; T:歴史","歴史的典拠を示す荘重なショット。"
158.982,"割れる海のCGと歓喜する群衆","M:海; M:群集; C:スロモ; E:高揚; T:歴史","神話的な奇跡を抽象的に表現。"
172.104,"一転して不安げな表情のアップ","M:群集; C:マクロ; E:苦悩; T:自己; T:歴史","喜びから不安への転換点。"
173.986,"荒野でうなだれる民衆の俯瞰ショット","S:自然; M:砂丘; M:群集; C:俯瞰; E:苦悩; T:歴史","自由の代償としての厳しさ。"
181.490,"羊皮紙の特定の一節を指でなぞる","M:羊皮紙; A:読書; C:マクロ; T:歴史; T:自己","引用箇所の提示。"
193.284,"予測可能な工場のライン作業","S:社内; C:固定; C:TL; T:組織; T:時間","奴隷生活の比喩としての単調な反復。"
211.314,"霧で見通しの悪い荒野を歩く","S:自然; M:砂丘; A:歩行; C:固定; E:苦悩; T:時間","不確実性の象徴としての風景。"
224.772,"砂時計の砂が落ちるマクロ撮影","M:砂時計; C:マクロ; C:TL; T:歴史; T:時間","40年という時間の長さを視覚化。"
232.694,"19世紀ドイツの街並み（古写真/版画）","S:屋外; C:パン; T:歴史; T:倫理","時代と場所の転換を示す。"
243.008,"ニーチェの肖像画に雷が落ちるCG","M:書物; C:固定; E:高揚; T:歴史; T:倫理","衝撃的な言葉の視覚的表現。"
248.204,"古い教会のステンドグラスと光","S:寺社; M:光芒; C:固定; E:静寂; T:歴史; T:倫理","失われた権威の象徴。"
261.406,"鎖に繋がれた手のイメージ","C:マクロ; C:スロモ; E:苦悩; T:倫理; T:自己","奴隷道徳の比喩。"
269.412,"古い価値観が崩れ去るイメージ","S:社内; C:スロモ; T:組織; T:倫理","ガラスや石像が砕けるなど。"
286.434,"終身雇用の象徴（古い社章など）","S:社内; C:マクロ; E:静寂; T:組織; T:歴史","過去の遺物としてのシンボル。"
297.976,"握手する二人の手のクローズアップ","S:社内; A:握手; C:マクロ; T:組織; T:自己","契約の象徴。影を強くして不穏に。"
313.138,"契約書にサインするペン先（羊皮紙風）","A:筆記; M:羊皮紙; C:マクロ; C:スロモ; T:組織; T:自己","見えない契約の視覚化。"
327.692,"fMRIの脳活動を示すHUD映像","M:脳HUD; C:固定; T:脳科学; T:自己","科学的根拠の提示。"
337.410,"扁桃体が赤く光る脳のCGモデル","M:脳HUD; M:ネットワーク; C:パン; T:脳科学; E:苦悩","ストレス反応を直感的に見せる。"
362.808,"選択肢を示す3つの分かれ道","M:羅針盤; C:固定; E:苦悩; T:組織; T:自己","ハーシュマンの理論を図解。"
374.150,"自問自答する人物の顔のアップ","S:屋内; C:マクロ; E:苦悩; T:自己","思考の転換点。"
378.052,"羅針盤の針が目的地を指し示す","M:羅針盤; C:マクロ; C:固定; E:静寂; T:自己","目的の明確化を象徴。"
391.094,"内面が変容する様子の抽象表現","M:脳HUD; M:ネットワーク; C:スロモ; E:高揚; T:自己","精神的成長を光や線の動きで表現。"
409.252,"転職サイトを閉じるPC画面","S:社内; M:ネットワーク; C:固定; T:自己","行動の変化。"
414.110,"自分自身に問いかける鏡の前の人物","S:屋内; M:窓; C:固定; E:静寂; T:自己","内省の時間の始まり。"
422.112,"見慣れたオフィスが違って見える","S:社内; C:パン; C:スロモ; T:組織; T:自己","視点の変化をカメラワークで表現。"
432.258,"朝日が差し込むオフィスの廊下","S:社内; M:光芒; A:歩行; C:固定; E:静寂","新しい一日の始まり。"
440.044,"景色の見え方が変わる万華鏡的表現","M:窓; C:マクロ; E:高揚; T:自己","視点が変わることの比喩。"
447.538,"会議で積極的に発言する人物","S:社内; A:会議; C:固定; T:組織; T:自己","「発言」の選択肢を具体的に示す。"
463.028,"内なる羅針盤が確立するイメージ","M:羅針盤; M:脳HUD; C:固定; E:静寂; T:自己","決意の象徴。"
474.050,"幻想が消え去るような映像効果","C:スロモ; E:静寂; T:自己","霧が晴れる、ピントが合うなど。"
486.356,"PCを閉じ、窓から夜空を見上げる","S:社内; M:窓; M:星空; C:パン; E:静寂; T:自己","視線の転換。内面から外面、そして宇宙へ。"
493.770,"過去の偉人達の肖像が星々に重なる","M:星空; C:固定; T:歴史; T:倫理; T:脳科学","星座のまとめ。シリーズのテーマ回収。"
511.328,"新しい職場で同じように悩む人物","S:社内; C:固定; E:苦悩; T:組織; T:自己; T:時間","逃避の末路をループで表現。"
521.186,"手帳に決意を書き込むペン先","S:屋内; A:筆記; M:書物; C:マクロ; E:静寂; T:自己","新しい「心理的契約」の始まり。"
531.344,"見る人によって違う星座が浮かぶCG","M:星空; M:ネットワーク; C:固定; T:自己","多様な解釈の可能性を示唆。"
537.214,"視聴者に問いかけるような視線","","","黒背景にテロップ推奨。"
542.028,"夜明けのオフィス街の風景","S:夜景; S:社内; C:TL; E:静寂; T:組織","新しい朝、新しい物語への期待感。"